dapa_no,place,type,period,held_at,digitised
137,Barban,MKR,1629/1694,ŽU Barban,yes
138,Barban,MKR,1636-1636,ŽU Barban,yes
139,Barban,MKR,1639-1685,ŽU Barban,yes
140,Barban,MKR,1690-1693,ŽU Barban,yes
141,Barban,MKR,1691-1714,ŽU Barban,yes
142,Barban,MKR,1716-1750,DAPA,no
143,Barban,MKR,1750-1781,DAPA,no
144,Barban,MKR,1775-1791,ŽU Barban,yes
145,Barban,MKR,1781-1816,DAPA,no
146,Barban,MKR,1806-1816,ŽU Barban,yes
147,Barban,MKR,1816-1831,DAPA,no
148,Barban,MKR,1816-1835,DAPA,no
149,Barban,MKR,1831-1840,DAPA,no
150,Barban,MKR,1835-1842,DAPA,no
151,Barban,MKR,1841-1860,DAPA,no
152,Barban,MKR,1842-1853,DAPA,no
153,Barban,MKR,1853-1888,ŽU Barban,yes
154,Barban,MKR,1860-1891,DAPA,no
155,Barban,MKR,1891-1922,BA Poreč,yes
156,Barban,MKR,1923-1940,ŽU Barban,yes
157,Barban,MKR,1923,MU Pula - MP Barban,yes
158,Barban,MKR,1924,MU Pula - MP Barban,yes
159,Barban,MKR,1924,MU Pula - MP Barban,yes
160,Barban,MKR,1925,MU Pula - MP Barban,yes
161,Barban,MKR,1926,MU Pula - MP Barban,yes
162,Barban,MKR,1927,MU Pula - MP Barban,yes
163,Barban,MKR,1928,MU Pula - MP Barban,yes
164,Barban,MKR,1929,MU Pula - MP Barban,yes
165,Barban,MKR,1930,MU Pula - MP Barban,yes
166,Barban,MKR,1931,MU Pula - MP Barban,yes
167,Barban,MKR,1932,MU Pula - MP Barban,yes
168,Barban,MKR,1933,MU Pula - MP Barban,yes
169,Barban,MKR,1934,MU Pula - MP Barban,yes
170,Barban,MKR,1935,MU Pula - MP Barban,yes
171,Barban,MKR,1936,MU Pula - MP Barban,yes
172,Barban,MKR,1937,MU Pula - MP Barban,yes
173,Barban,MKR,1938,MU Pula - MP Barban,yes
174,Barban,MKR,1939,MU Pula - MP Barban,yes
175,Barban,MKR,1940,MU Pula - MP Barban,yes
176,Barban,MKR,1940-1999,ŽU Barban,yes
177,Barban,MKR,1941,MU Pula - MP Barban,yes
178,Barban,MKR,1942,MU Pula - MP Barban,yes
179,Barban,MKR,1943-1946,MU Pula - MP Barban,yes
180,Barban,MKR,1947-1958,MU Pula - MP Barban,yes
181,Barban,MKR,1959-1979,MU Pula - MP Barban,yes
182,Barban,MKV,1669-1689,ŽU Barban,yes
183,Barban,MKV,1692-1694,ŽU Barban,yes
184,Barban,MKV,1695-1749,ŽU Barban,yes
185,Barban,MKV,1722-1727,ŽU Barban,yes
186,Barban,MKV,1753-1826,ŽU Barban,yes
187,Barban,MKV,1793-1799,ŽU Barban,yes
188,Barban,MKV,1815-1821,DAPA,no
189,Barban,MKV,1821-1840,DAPA,no
190,Barban,MKV,1826-1842,DAPA,no
191,Barban,MKV,1841-1860,DAPA,no
192,Barban,MKV,1843-1868,DAPA,no
193,Barban,MKV,1860-1920,BA Poreč,yes
194,Barban,MKV,1868-1887,DAPA,no
195,Barban,MKV,1920-1948,ŽU Barban,yes
196,Barban,MKV,1924,MU Pula - MP Barban,yes
197,Barban,MKV,1925,MU Pula - MP Barban,yes
198,Barban,MKV,1926,MU Pula - MP Barban,yes
199,Barban,MKV,1927,MU Pula - MP Barban,yes
200,Barban,MKV,1928,MU Pula - MP Barban,yes
201,Barban,MKV,1929,MU Pula - MP Barban,yes
202,Barban,MKV,1930,MU Pula - MP Barban,yes
203,Barban,MKV,1931,MU Pula - MP Barban,yes
204,Barban,MKV,1932,MU Pula - MP Barban,yes
205,Barban,MKV,1933,MU Pula - MP Barban,yes
206,Barban,MKV,1934,MU Pula - MP Barban,yes
207,Barban,MKV,1935,MU Pula - MP Barban,yes
208,Barban,MKV,1936,MU Pula - MP Barban,yes
209,Barban,MKV,1937,MU Pula - MP Barban,yes
210,Barban,MKV,1938,MU Pula - MP Barban,yes
211,Barban,MKV,1939,MU Pula - MP Barban,yes
212,Barban,MKV,1940,MU Pula - MP Barban,yes
213,Barban,MKV,1941,MU Pula - MP Barban,yes
214,Barban,MKV,1942,MU Pula - MP Barban,yes
215,Barban,MKV,1943-1946,MU Pula - MP Barban,yes
216,Barban,MKV,1947-1958,MU Pula - MP Barban,yes
217,Barban,MKV,1949-1959,ŽU Barban,no
218,Barban,MKV,1959-1979,MU Pula,yes
219,Barban,MKU,1691-1695,ŽU Barban,yes
220,Barban,MKU,1696-1714,ŽU Barban,yes
221,Barban,MKU,1717-1751,DAPA,no
222,Barban,MKU,1751/1815,DAPA,no
223,Barban,MKU,1778-1786,ŽU Barban,yes
224,Barban,MKU,1786-1827,ŽU Barban,yes
225,Barban,MKU,1815-1821,DAPA,no
226,Barban,MKU,1821-1841,DAPA,no
227,Barban,MKU,1828-1843,ŽU Barban,yes
228,Barban,MKU,1841-1860,DAPA,no
229,Barban,MKU,1843-1879,ŽU Barban,yes
230,Barban,MKU,1860-1916,BA Poreč,yes
231,Barban,MKU,1917-1949,ŽU Barban,yes
232,Barban,MKU,1924,MU Pula - MP Barban,yes
233,Barban,MKU,1925,MU Pula - MP Barban,yes
234,Barban,MKU,1926,MU Pula - MP Barban,yes
235,Barban,MKU,1927,MU Pula - MP Barban,yes
236,Barban,MKU,1928,MU Pula - MP Barban,yes
237,Barban,MKU,1929,MU Pula - MP Barban,yes
238,Barban,MKU,1930,MU Pula - MP Barban,yes
239,Barban,MKU,1931,MU Pula - MP Barban,yes
240,Barban,MKU,1932,MU Pula - MP Barban,yes
241,Barban,MKU,1933,MU Pula - MP Barban,yes
242,Barban,MKU,1934,MU Pula - MP Barban,yes
243,Barban,MKU,1935,MU Pula - MP Barban,yes
244,Barban,MKU,1936,MU Pula - MP Barban,yes
245,Barban,MKU,1937,MU Pula - MP Barban,yes
246,Barban,MKU,1938,MU Pula - MP Barban,yes
247,Barban,MKU,1939,MU Pula - MP Barban,yes
248,Barban,MKU,1940,MU Pula - MP Barban,yes
249,Barban,MKU,1941,MU Pula - MP Barban,yes
250,Barban,MKU,1942,MU Pula - MP Barban,yes
251,Barban,MKU,1943-1946,MU Pula - MP Barban,yes
252,Barban,MKU,1947-1958,MU Pula - MP Barban,yes
253,Barban,MKU,1949-1976,ŽU Barban,no
