parish,volume
Bale,"Births (Rođeni) 1538-1573, 1606-1697"
Bale,"Births (Rođeni) 1699-1741 Baptisms (Krsteni) 1701, 1714"
Bale,Births (Rođeni) 1741-1786
Bale,Births (Rođeni) 1786-1814
Bale,"Births (Rođeni) 1814-1829, 1815-1880"
Bale,"Deaths (Umrli) 1606-1831, 1815-1880"
Bale,"Marriages (Vjenčani) 1617-1633, 1672-1789"
Bale,"Marriages (Vjenčani) 1789-1834, 1815-1882"
Barban,Births (Rođeni) 1716-1816
Barban,Births (Rođeni) 1815-1831
Barban,Births (Rođeni) 1816-1821
Barban,Births (Rođeni) 1821-1835
Barban,Births (Rođeni) 1831-1840
Barban,Births (Rođeni) 1835-1853
Barban,Births (Rođeni) 1841-1889
Barban,Births (Rođeni) 1889-1891
Barban,Deaths (Umrli) 1717-1767
Barban,Deaths (Umrli) 1767-1860
Barban,Marriages (Vjenčani) 1815-1821
Barban,Marriages (Vjenčani) 1821-1840
Barban,"Marriages (Vjenčani) 1826-1842, 1841-1860"
Barban,Marriages (Vjenčani) 1847-1887
Boljun,Marriages (Vjenčani) 1640-1667
Buzet,Births (Rođeni) 1821-1887
Buzet,Deaths (Umrli) 1815-1886
Buzet,Marriages (Vjenčani) 1821-1903
Galižana,Births (Rođeni) 1815-1897
Galižana,Deaths (Umrli) 1815-1898
Galižana,Marriages (Vjenčani) 1815-1894
Kaštelir,Births (Rođeni) 1753-1893
Kaštelir,Deaths (Umrli) 1797-1907
Funtana,Births (Rođeni) 1737-1767
Funtana,Births (Rođeni) 1769-1794
Funtana,"Births (Rođeni) 1797-1812, 1824-1837, 1854"
Funtana,"Births (Rođeni) 1812-1816, 1815-1830"
Funtana,"Births (Rođeni) 1857-1876, 1830-1856"
Funtana,"Deaths (Umrli) 1769-1776, 1773, 1777-1797"
Funtana,"Deaths (Umrli) 1797-1812, 1822-1838"
Funtana,"Deaths (Umrli) 1812-1816, 1815-1831"
Funtana,"Deaths (Umrli) 1874-1896, 1831-1874"
Funtana,"Marriages (Vjenčani) 1801-1802, 1813-1837"
Funtana,"Marriages (Vjenčani) 1855-1883, 1830-1855"
Hum (Buzet),Births (Rođeni) 1673-1725 Marriages (Vjenčani) 1677-1727 Deaths (Umrli) 1674-1725
Hum (Buzet),Births (Rođeni) 1839-1888
Hum (Buzet),"Deaths (Umrli) 1750-1819, 1853-1901"
Hum (Buzet),"Marriages (Vjenčani) 1815-1844 Deaths (Umrli) 1817, 1815-1852 Births (Rođeni) 1819-1839"
Hum (Buzet),Marriages (Vjenčani) 1845-1904
Fažana,"Births (Rođeni) 1810-1851, 1816-1852"
Fažana,Deaths (Umrli) 1816-1859
Kanfanar,Births (Rođeni) 1815-1837
Kanfanar,Births (Rođeni) 1837-1898
Kanfanar,Church Census (Stanje duša) 1826
Kanfanar,Deaths (Umrli) 1765-1828
Kanfanar,Marriages (Vjenčani) 1763-1827
Krbune,Births (Rođeni) 1803-1869 Deaths (Umrli) 1803-1870 Marriages (Vjenčani) 1803-1870
Kringa,Births (Rođeni) 1840-1886
Krnica,Births (Rođeni) 1833-1895
Labin,Births (Rođeni) 1536-1583
Labin,Births (Rođeni) 1584-1608
Labin,"Births (Rođeni) 1609, 1612-1645"
Labin,Births (Rođeni) 1650-1651
Labin,"Births (Rođeni) 1662-1682 Baptisms (Krsteni) 1663, 1665, 1658, 1663"
Labin,Births (Rođeni) 1682-1770
Labin,Births (Rođeni) 1770-1878
Labin,"Deaths (Umrli) 1615, 1585-1649"
Labin,"Deaths (Umrli) 1651-1682, 1732-1860"
Labin,"Deaths (Umrli) 1861-1910, 1907, 1908"
Labin,Marriages (Vjenčani) 1662-1868
Kršan,"Births (Rođeni) 1751-1858, 1713-1748, 1859-1896"
Kršan,Marriages (Vjenčani) 1844-1904
Labinci,"Births (Rođeni) 1612-1614, 1630-1688 Marriages (Vjenčani) 1681-1688"
Labinci,Births (Rođeni) 1630-1654 Marriages (Vjenčani) 1683-1690
Labinci,"Births (Rođeni) 1654-1662, 1781-1861"
Labinci,Births (Rođeni) 1824-1904
Labinci,Marriages (Vjenčani) 1816-1822 Births (Rođeni) 1815-1823 Deaths (Umrli) 1815-1823
Labinci,"Marriages (Vjenčani) 1824-1858, 1836-1861"
Ližnjan,Births (Rođeni) 1816-1883
Ližnjan,Deaths (Umrli) 1815-1900
Ližnjan,Marriages (Vjenčani) 1815-1902
Lupoglav,Births (Rođeni) 1821-1834
Lupoglav,"Births (Rođeni) 1834-1857 Marriages (Vjenčani) 1848-1878, 1790-1847 Deaths (Umrli) 1790-1878 Church Census (Stanje duša) 1813, 1845"
Lupoglav,Births (Rođeni) 1858-1900
Lupoglav,"Church Census (Stanje duša) 1859, 1870"
Lupoglav,Marriages (Vjenčani) 1878-1918 Deaths (Umrli) 1878-1921
Lupoglav (Pazin),Births (Rođeni) 1656-1722
Lupoglav (Pazin),Births (Rođeni) 1744-1822
Marčana,"Births (Rođeni) 1865-1903 Deaths (Umrli) 1865-1889, 1894-1910"
Medulin,Births (Rođeni) 1648-1649 Marriages (Vjenčani) 1666-1704
Medulin,Births (Rođeni) 1801-1890
Medulin,Deaths (Umrli) 1801-1899
Medulin,Marriages (Vjenčani) 1831-1899
Nedešćina,Births (Rođeni) 1810
Nedešćina,Births (Rođeni) 1816-1873
Nedešćina,Deaths (Umrli) 1714-1815
Nedešćina,Deaths (Umrli) 1810
Nedešćina,Deaths (Umrli) 1815-1870
Nedešćina,Marriages (Vjenčani) 1714-1815
Nedešćina,"Marriages (Vjenčani) 1815-1870, 1833-1838"
Nedešćina,Marriages (Vjenčani) 1871-1902
Petar u Šumi,Births (Rođeni) 1838-1893
Oprtalj,Deaths (Umrli) 1815-1856
Plomin,Births (Rođeni) 1844-1894
Pazin,"Births (Rođeni) 1582, 1614-1624, 1645, 1643-1685"
Pazin,Births (Rođeni) 1685-1847
Pazin,Births (Rođeni) 1847-1882
Pazin,Deaths (Umrli) 1655-1691
Pazin,Deaths (Umrli) 1692-1847
Pazin,"Marriages (Vjenčani) 1597-1635, 1656-1852, 1812-1847"
