Omiš	145	1634	1892
Rijeka	105	1626	1887
Ližnjan	100	1794	1896
Svetvinčenat	85	1666	1873
Pula	63	1659	1894
Vižinada	53	1790	1860
Split (Sv. Dujam)	27	1700	1860
Draguč	25	1784	1851
Rovinj	23	1619	1854
Dubrovnik-Grad	22	1741	1862
Šterna	16	1786	1832
Dubrovnik (Pile)	16	1836	1836
Poljica (Imotski)	15	1814	1853
Kaštelir	14	1819	1872
Poreč	14	1811	1868
Bednja	13	1706	1874
Pazin	12	1793	1847
Đurđevac	9	1842	1895
Split-Veli Varoš	8	1827	1871
Labin	8	1826	1826
Nerežišća (Brač)	8	1799	1867
Split-Stari Grad	7	1856	1856
Hrnetić	7	1852	1871
Pregrada	7	1674	1874
Crikvenica	6	1801	1897
Imotski-Glavina	6	1797	1797
Bakar	5	1772	1819
Sv. Marko (Zagreb)	5	1806	1916
Đakovo	5	1821	1904
Dubovac (Karlovac)	5	1849	1877
Orašac	5	1837	1842
Ledenice	4	1890	1892
Donja Stubica	4	1834	1897
Turnašica	4	1911	1912
Križevci	4	1780	1782
Orahovica	4	1842	1842
Sinj	4	1840	1844
Vrsar	3	1670	1686
Kozljak	3		
Lepoglava	3	1858	1887
Samobor	3	1887	1887
Pag	3	1706	1806
Rab	3	1853	1853
Olib	3		
Makarska	2	1771	1827
Marina (Trogir)	2	1862	1862
Krk	2	1851	1851
Kastav	2	1862	1862
Medulin	2	1852	1852
Šumber	2		
Topolje	2	1805	1805
Senj	2	1769	1769
Mihovljan	2	1857	1857
Pitomača	2	1894	1894
Petrovsko	2	1888	1888
Sv. Ivan (Zagreb)	2	1809	1809
Brdovec	2	1883	1883
Petrinja	2	1875	1875
Marija Bistrica	2	1859	1859
Ivankovo	2		
Cres	2	1713	1713
Zelina	2		
Radoboj	2		
Drenovci	2		
Mali Lošinj	2		
Sovinjak	1	1783	1783
Tinjan	1	1828	1828
Trsat (Rijeka)	1	1829	1829
Fuškulin	1		
Lovreč	1		
Bale	1		
Ivanec	1	1722	1722
Šljivoševci	1	1796	1796
Vrbovec	1	1876	1876
Sv. Petar (Zagreb)	1	1907	1907
Kaštel Lukšić	1	1826	1826
Vukovar	1	1878	1878
Desinić	1	1816	1816
Senjska Draga	1	1878	1878
Sveti Martin pod Okićem	1		
Leskovac-Barilovićki	1		
Donja Zelina	1		
Brckovljani	1		
Sladojevci	1		
Korčula (Curzola)	1	1854	1854
Dračevac	1	1865	1865
Osor	1		
Dubrovnik (hospital)	1		
Skradin	1		
Barban	1		
Hvar	1		
Blato (Korčula)	1		
Murter	1		
